Year,Disruption,Duration,Likelihood,Warning Capability,Disruption Position
2019,Cyber attack on Natural Gas compressor station,Acute,Reoccurring,No,Multi-tiered
2019,Tropical storm ' Imelda',Acute,Reoccurring,Yes,Multi-tiered
2019,Tropical cylone 'Barry',Acute,Reoccurring,Yes,Multi-tiered
2019,Tropical cyclone 'Dorian',Acute,Reoccurring,Yes,Multi-tiered
2019,Saddleridge fire & Sandalwood fire,Acute,Rare,No,Multi-tiered
2019,Kincade Fire,Acute,Rare,No,Multi-tiered
2020,COVID-19 - Good shortage,Chronic ,Rare,Yes,Multi-tiered
2020,U.S.-China Trade War,Chronic ,Rare ,Yes,Multi-tiered
2021,Energy Cyber Attack,Acute,Reoccurring,No,
2021,Colonial Pipeline cyber attack,Acute,Reoccurring,No,Multi-tiered
2021,JBS meat processing cyber attack,Acute,Reoccurring,No,Multi-tiered
